temperature,milk_production,lethargy,mouth_ulcers,mouth_blister,salivation,nasal_discharge,fmd_status
38.5,1,0,0,0,0,0,0
39.9,5,1,5,5,1,1,1
37.9,1,0,0,0,0,0,0
39.7,3,1,3,5,1,1,1
39,4,1,3,3,1,1,1
39.6,4,1,5,5,1,1,1
40.2,4,1,4,3,1,1,1
40.2,5,1,3,3,1,1,1
38.2,1,0,0,0,0,0,0
39.6,4,1,5,4,1,1,1
40.1,5,1,5,2,1,1,0
37.9,1,0,0,0,0,0,0
39.9,5,1,3,3,1,1,1
40.6,4,1,3,4,1,1,1
37.9,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,1
39.4,4,1,2,2,1,1,0
39.6,5,1,4,3,1,1,1
38.3,1,0,0,0,0,0,0
40.2,5,1,4,4,1,1,1
38.4,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,1
40.6,5,1,3,5,1,1,1
38.4,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
39.4,4,1,5,2,1,1,1
38.8,1,0,0,0,0,0,0
39.7,5,1,4,3,1,1,1
39.6,4,1,2,5,1,1,1
39.4,4,1,4,5,1,1,1
39.5,5,1,5,3,1,1,0
38.7,0,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
40.3,3,1,4,3,1,1,0
37.8,0,0,0,0,0,0,1
39.1,5,1,4,5,1,1,1
39.7,3,1,4,3,1,1,1
38.6,1,0,0,0,0,0,1
38.9,3,1,3,5,1,1,1
37.8,1,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
40.5,4,1,2,3,1,1,1
39.6,5,1,2,2,1,1,1
39.5,4,1,2,3,1,1,1
38.4,1,0,0,0,0,0,0
40.1,3,1,3,4,1,1,1
37.5,0,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
40.1,4,1,3,2,1,1,1
38.4,0,0,0,0,0,0,0
39.6,4,1,2,2,1,1,1
38.9,1,0,0,0,0,0,0
39.8,3,1,3,2,1,1,1
38.1,1,0,0,0,0,0,0
40.1,5,1,5,4,1,1,1
40.1,5,1,5,4,1,1,1
38.9,0,0,0,0,0,0,0
40,3,1,5,2,1,1,1
37.9,0,0,0,0,0,0,0
40.5,5,1,5,4,1,1,1
38.6,0,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
39.3,3,1,2,5,1,1,1
39.1,4,1,5,2,1,1,1
38.9,5,1,3,3,1,1,0
38.3,0,0,0,0,0,0,0
39,3,1,2,5,1,1,1
38.5,1,0,0,0,0,0,1
38.7,0,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
40.3,3,1,5,3,1,1,1
39.1,4,1,5,3,1,1,1
39.8,4,1,2,2,1,1,1
39.7,4,1,2,4,1,1,1
38,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0
39.5,5,1,4,2,1,1,1
39.6,3,1,4,4,1,1,1
39.9,3,1,3,4,1,1,1
39.2,4,1,2,3,1,1,1
39.2,0,0,0,0,0,0,0
40.2,3,1,4,2,1,1,1
39.6,4,1,3,3,1,1,1
38,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
38,0,0,0,0,0,0,1
41,4,1,2,3,1,1,1
39.8,3,1,4,3,1,1,1
38.9,3,1,2,2,1,1,1
39.8,5,1,4,2,1,1,1
38,0,0,0,0,0,0,0
39.1,1,0,0,0,0,0,1
39.6,3,1,4,3,1,1,1
38.7,1,0,0,0,0,0,0
40.6,4,1,2,3,1,1,1
39.1,1,0,0,0,0,0,0
40,4,1,5,5,1,1,1
38.4,1,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
39.5,4,1,3,3,1,1,1
38.2,1,0,0,0,0,0,0
39.8,3,1,5,5,1,1,1
40.1,4,1,4,5,1,1,1
38.8,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
39.4,3,1,2,3,1,1,1
39.7,4,1,2,4,1,1,1
39.9,3,1,4,4,1,1,1
39.5,5,1,3,3,1,1,1
40.6,3,1,3,2,1,1,1
40,5,1,2,4,1,1,1
39.4,1,0,0,0,0,0,0
39.1,0,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
39.1,4,1,2,5,1,1,1
40.1,3,1,4,2,1,1,1
39.6,5,1,3,3,1,1,1
38.8,1,0,0,0,0,0,0
39.5,3,1,5,4,1,1,1
38.8,0,0,0,0,0,0,0
38.4,0,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
39.2,4,1,3,2,1,1,1
38.3,1,0,0,0,0,0,0
37.8,1,0,0,0,0,0,1
38.6,0,0,0,0,0,0,0
38.3,0,0,0,0,0,0,0
38.2,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0
37.6,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0
39,4,1,5,5,1,1,1
38.8,0,0,0,0,0,0,0
38.9,1,0,0,0,0,0,1
39.8,3,1,2,3,1,1,1
38.5,1,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
38.8,0,0,0,0,0,0,0
39.7,4,1,5,5,1,1,1
38.6,0,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0
39.6,5,1,5,3,1,1,1
40.9,3,1,5,2,1,1,1
39,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,1
38.5,1,0,0,0,0,0,0
39.6,5,1,4,2,1,1,1
40.4,4,1,2,3,1,1,1
38.5,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,1
38.5,1,0,0,0,0,0,0
40.2,5,1,4,2,1,1,1
38.6,1,0,0,0,0,0,0
39.7,3,1,3,4,1,1,1
39.4,4,1,3,2,1,1,1
39.1,1,0,0,0,0,0,0
39.9,5,1,4,5,1,1,1
38.5,1,0,0,0,0,0,0
40.3,4,1,3,5,1,1,1
37.8,0,0,0,0,0,0,0
38.3,0,0,0,0,0,0,0
39.2,4,1,5,2,1,1,1
38.5,1,0,0,0,0,0,0
39.6,5,1,3,2,1,1,1
40,5,1,3,5,1,1,1
38.7,0,0,0,0,0,0,0
39.1,1,0,0,0,0,0,0
39.6,3,1,5,3,1,1,1
38.8,5,1,3,5,1,1,1
39.8,5,1,3,4,1,1,1
40.6,4,1,4,4,1,1,1
39.2,1,0,0,0,0,0,0
40.8,5,1,3,4,1,1,1
39.5,4,1,5,5,1,1,1
38.8,1,0,0,0,0,0,0
39.8,5,1,5,3,1,1,1
38.9,3,1,3,2,1,1,0
41.3,5,1,2,2,1,1,0
39.6,5,1,4,2,1,1,1
38.4,1,0,0,0,0,0,0
39.1,5,1,5,4,1,1,1
38,0,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
40.3,5,1,2,4,1,1,1
38.2,0,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
39.2,5,1,5,5,1,1,1
39.6,3,1,2,3,1,1,1
39.1,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
37.9,1,0,0,0,0,0,0
39.8,3,1,4,2,1,1,1
38.4,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,1
38.8,0,0,0,0,0,0,0
39.5,4,1,5,3,1,1,1
39.6,5,1,3,2,1,1,1
39.9,3,1,2,4,1,1,1
39.1,1,0,0,0,0,0,0
39.2,1,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
39.5,4,1,2,5,1,1,1
37.3,1,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
38.4,5,1,2,2,1,1,1
38.8,5,1,2,3,1,1,1
40.1,3,1,4,5,1,1,1
39.4,4,1,3,2,1,1,1
38.7,1,0,0,0,0,0,1
37.5,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
40.8,5,1,4,5,1,1,1
39.8,4,1,4,2,1,1,0
38.5,1,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
39.6,4,1,4,3,1,1,1
38.6,1,0,0,0,0,0,0
39.4,3,1,3,4,1,1,1
38.6,0,0,0,0,0,0,1
39,1,0,0,0,0,0,0
39.7,5,1,2,4,1,1,1
38.8,0,0,0,0,0,0,0
39.9,3,1,4,3,1,1,1
39.5,4,1,3,3,1,1,1
39.2,4,1,3,4,1,1,1
39.4,5,1,5,3,1,1,1
38.4,1,0,0,0,0,0,0
39.9,5,1,5,2,1,1,1
38.6,1,0,0,0,0,0,0
38.7,3,1,5,2,1,1,1
38.6,1,0,0,0,0,0,1
38.8,1,0,0,0,0,0,0
39.3,5,1,5,4,1,1,1
40.9,3,1,2,3,1,1,1
39.3,4,1,4,2,1,1,1
39.2,4,1,4,4,1,1,1
40.4,4,1,3,4,1,1,1
39.3,1,0,0,0,0,0,0
39.7,3,1,5,3,1,1,1
38.3,1,0,0,0,0,0,0
39.8,3,1,2,3,1,1,1
39.7,4,1,2,4,1,1,1
38,1,0,0,0,0,0,0
38.4,0,0,0,0,0,0,0
39.1,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
38.2,1,0,0,0,0,0,0
39.7,5,1,3,3,1,1,1
38.8,1,0,0,0,0,0,0
37.9,0,0,0,0,0,0,0
39.4,5,1,5,4,1,1,1
38.4,0,0,0,0,0,0,0
39.4,4,1,4,2,1,1,1
40.1,5,1,3,3,1,1,1
38.3,1,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
39.6,5,1,3,5,1,1,1
38.3,1,0,0,0,0,0,0
40,4,1,3,5,1,1,1
38.8,0,0,0,0,0,0,0
40,5,1,5,4,1,1,1
38.8,3,1,2,3,1,1,1
39.6,4,1,3,2,1,1,1
38.4,1,0,0,0,0,0,0
40.8,4,1,3,3,1,1,1
38.5,1,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
38.3,0,0,0,0,0,0,0
39.7,5,1,5,4,1,1,1
39.1,4,1,4,4,1,1,1
38.3,1,0,0,0,0,0,0
38.8,0,0,0,0,0,0,1
39.8,4,1,5,4,1,1,1
38,1,0,0,0,0,0,0
40.6,3,1,2,2,1,1,1
38.3,1,0,0,0,0,0,0
39.5,5,1,2,3,1,1,1
37.9,1,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
39.3,5,1,4,5,1,1,1
38.3,1,0,0,0,0,0,0
39.4,4,1,5,4,1,1,1
38.5,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
40.4,4,1,3,5,1,1,1
38.6,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0
38.9,0,0,0,0,0,0,0
40,5,1,3,2,1,1,1
39.7,5,1,5,4,1,1,1
38.4,0,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
38.8,0,0,0,0,0,0,0
39.6,3,1,2,5,1,1,1
39,1,0,0,0,0,0,0
39.7,3,1,5,4,1,1,1
38.1,0,0,0,0,0,0,0
40.4,4,1,2,5,1,1,1
40.1,4,1,5,2,1,1,1
40,5,1,5,5,1,1,1
37.7,1,0,0,0,0,0,0
40,4,1,4,3,1,1,1
39.5,1,0,0,0,0,0,0
39.6,4,1,5,2,1,1,1
40.3,3,1,5,3,1,1,1
40,4,1,2,3,1,1,1
38.8,1,0,0,0,0,0,0
38.4,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,1
39,0,0,0,0,0,0,0
37.9,0,0,0,0,0,0,0
39.7,5,1,5,3,1,1,1
40.2,3,1,3,2,1,1,1
40,4,1,3,3,1,1,1
38.3,1,0,0,0,0,0,0
38.3,0,0,0,0,0,0,0
39.9,5,1,3,3,1,1,1
40,3,1,4,4,1,1,1
39.2,3,1,5,3,1,1,1
39,5,1,5,5,1,1,1
39.6,5,1,4,3,1,1,1
39.2,3,1,4,2,1,1,1
38.8,3,1,4,4,1,1,1
39.9,5,1,4,2,1,1,1
38.6,1,0,0,0,0,0,0
39.7,4,1,2,4,1,1,1
39,5,1,3,2,1,1,1
38.3,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
38.8,4,1,5,2,1,1,1
40.4,3,1,2,4,1,1,1
38.3,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0
39.7,4,1,2,2,1,1,1
39.9,4,1,4,4,1,1,1
39.5,4,1,4,3,1,1,1
40.6,4,1,4,4,1,1,1
39.3,5,1,2,2,1,1,1
39.5,3,1,5,5,1,1,1
40.3,4,1,5,5,1,1,1
38,1,0,0,0,0,0,0
40,5,1,2,3,1,1,1
38.8,3,1,4,2,1,1,1
38.4,4,1,2,5,1,1,1
38.4,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0
38.6,1,0,0,0,0,0,1
40,3,1,5,2,1,1,1
38.6,1,0,0,0,0,0,0
40.8,4,1,4,2,1,1,1
38.1,1,0,0,0,0,0,0
38.9,3,1,3,4,1,1,1
38.6,0,0,0,0,0,0,0
39.2,1,0,0,0,0,0,1
38.5,1,0,0,0,0,0,0
39.4,0,0,0,0,0,0,0
37.8,1,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
39.6,4,1,5,5,1,1,1
38.9,3,1,5,4,1,1,1
38.9,1,0,0,0,0,0,0
38.2,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
39.4,3,1,4,3,1,1,0
40.1,4,1,5,3,1,1,1
39.6,3,1,3,5,1,1,0
38.7,1,0,0,0,0,0,1
39.1,0,0,0,0,0,0,0
40.1,4,1,3,5,1,1,1
38.2,0,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
39.7,5,1,4,2,1,1,1
38.2,1,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
40.1,4,1,2,5,1,1,1
38.2,1,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
39.9,1,0,0,0,0,0,0
39,0,0,0,0,0,0,0
37.5,1,0,0,0,0,0,0
39.4,3,1,3,5,1,1,1
39.2,3,1,5,3,1,1,1
38.5,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
39.9,3,1,4,2,1,1,1
39,4,1,4,4,1,1,1
38.5,0,0,0,0,0,0,0
39.9,5,1,5,3,1,1,1
39.7,4,1,3,2,1,1,1
38.4,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
37.5,1,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
39.2,5,1,4,4,1,1,1
39.3,3,1,3,3,1,1,1
40,5,1,2,2,1,1,1
39.5,4,1,4,3,1,1,1
39.3,1,0,0,0,0,0,0
39,3,1,3,5,1,1,1
39.2,4,1,3,5,1,1,1
38.5,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
40.1,4,1,5,4,1,1,1
38.1,1,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
39.7,4,1,2,3,1,1,1
37.9,1,0,0,0,0,0,0
40.4,4,1,5,2,1,1,1
40,4,1,3,4,1,1,1
37.9,1,0,0,0,0,0,0
39.6,3,1,5,4,1,1,1
38.4,0,0,0,0,0,0,0
39.8,4,1,2,3,1,1,1
39,4,1,3,5,1,1,1
38.4,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
38.2,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0
38.9,3,1,3,4,1,1,1
38,0,0,0,0,0,0,0
39.5,3,1,3,5,1,1,1
38.2,1,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
38.5,4,1,5,5,1,1,1
39.1,3,1,5,2,1,1,1
38.3,1,0,0,0,0,0,0
39.6,5,1,3,4,1,1,1
40.1,3,1,2,3,1,1,1
39.2,3,1,3,2,1,1,1
38.5,1,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
39.5,4,1,2,5,1,1,1
38.1,0,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
38.9,0,0,0,0,0,0,0
40.2,5,1,2,4,1,1,1
38.2,1,0,0,0,0,0,0
40,4,1,5,2,1,1,0
38.3,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0
39.5,4,1,4,3,1,1,1
39.1,0,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
39,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0
39.5,5,1,5,5,1,1,1
39.9,4,1,3,3,1,1,1
38.5,1,0,0,0,0,0,0
38.2,1,0,0,0,0,0,1
38,1,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
40.1,3,1,3,4,1,1,1
40.3,4,1,3,5,1,1,1
38.3,1,0,0,0,0,0,0
39.7,3,1,2,2,1,1,1
38.3,1,0,0,0,0,0,0
40,4,1,3,4,1,1,1
38.9,1,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
40.4,4,1,3,2,1,1,1
40,4,1,4,2,1,1,1
40.3,3,1,2,3,1,1,1
37.8,1,0,0,0,0,0,1
38.5,1,0,0,0,0,0,0
40,3,1,3,4,1,1,1
38.8,1,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
40.3,5,1,5,5,1,1,1
38.6,0,0,0,0,0,0,0
38.8,4,1,2,3,1,1,1
38.3,1,0,0,0,0,0,0
40.2,3,1,2,2,1,1,1
40.7,4,1,5,3,1,1,1
39.3,4,1,4,4,1,1,1
38,0,0,0,0,0,0,0
38.7,0,0,0,0,0,0,0
37.9,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
39.5,5,1,5,2,1,1,1
39.5,4,1,5,2,1,1,1
40.5,4,1,2,3,1,1,1
39.5,4,1,5,4,1,1,1
39.2,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
39.6,4,1,4,4,1,1,1
39.7,3,1,2,3,1,1,1
40.1,5,1,2,2,1,1,1
40.4,5,1,3,5,1,1,1
38.1,1,0,0,0,0,0,0
38.7,0,0,0,0,0,0,0
39.4,4,1,2,4,1,1,1
40.7,4,1,4,2,1,1,1
39.2,1,0,0,0,0,0,0
39.6,4,1,4,5,1,1,0
39.7,5,1,3,4,1,1,1
39.4,5,1,5,3,1,1,1
38.3,1,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
39.1,1,0,0,0,0,0,0
39.7,5,1,2,4,1,1,1
39.6,4,1,2,5,1,1,1
38.8,0,0,0,0,0,0,0
38.2,0,0,0,0,0,0,0
39.5,3,1,4,3,1,1,1
38.8,1,0,0,0,0,0,0
40.1,3,1,2,3,1,1,1
40.1,4,1,5,3,1,1,1
39.4,5,1,2,4,1,1,1
39.3,1,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
40.3,3,1,2,3,1,1,1
39.3,1,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
40.5,3,1,4,4,1,1,0
40.6,4,1,3,2,1,1,1
38.8,1,0,0,0,0,0,0
38.2,1,0,0,0,0,0,0
39.6,4,1,5,2,1,1,1
40.7,4,1,4,3,1,1,1
40.2,4,1,3,4,1,1,1
40.3,4,1,5,5,1,1,1
39.7,3,1,5,3,1,1,1
39.4,3,1,4,5,1,1,1
38,1,0,0,0,0,0,1
37.8,1,0,0,0,0,0,0
40.1,5,1,3,5,1,1,1
39.1,3,1,5,2,1,1,1
38.3,1,0,0,0,0,0,0
39.4,4,1,4,4,1,1,1
37.7,0,0,0,0,0,0,1
38.4,0,0,0,0,0,0,0
38.2,1,0,0,0,0,0,0
39.7,4,1,3,3,1,1,1
38,1,0,0,0,0,0,0
38.9,3,1,3,2,1,1,1
39,0,0,0,0,0,0,0
38.8,1,0,0,0,0,0,0
40,5,1,4,2,1,1,1
38.4,1,0,0,0,0,0,0
39.8,4,1,2,3,1,1,1
37.5,1,0,0,0,0,0,0
38.7,1,0,0,0,0,0,1
39.7,3,1,5,4,1,1,1
39.7,3,1,3,3,1,1,1
39.7,3,1,2,4,1,1,1
40.3,4,1,3,4,1,1,1
39,1,0,0,0,0,0,0
40.1,5,1,4,5,1,1,1
40,3,1,3,2,1,1,1
38.3,0,0,0,0,0,0,0
38.9,1,0,0,0,0,0,0
40.4,4,1,4,4,1,1,1
40.1,3,1,2,2,1,1,1
39.3,5,1,2,3,1,1,1
38,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0
39.8,5,1,4,4,1,1,1
38.3,0,0,0,0,0,0,0
40,4,1,3,3,1,1,1
40,3,1,3,5,1,1,1
37.8,0,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
40.3,5,1,4,3,1,1,1
38.7,1,0,0,0,0,0,0
39.1,0,0,0,0,0,0,0
40.4,3,1,5,3,1,1,1
39,0,0,0,0,0,0,0
37.9,0,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
38.4,0,0,0,0,0,0,0
38.8,0,0,0,0,0,0,1
37.9,1,0,0,0,0,0,1
38.2,1,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,1
38.4,1,0,0,0,0,0,0
38.4,0,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
37.8,1,0,0,0,0,0,0
40.4,4,1,4,2,1,1,1
38.5,0,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
40.1,4,1,5,5,1,1,1
38.2,0,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
39.7,5,1,4,5,1,1,1
39.5,3,1,4,2,1,1,1
38.7,1,0,0,0,0,0,1
39.7,5,1,5,3,1,1,1
38.9,0,0,0,0,0,0,0
40.3,4,1,2,5,1,1,1
39.9,3,1,5,3,1,1,1
39.6,3,1,3,4,1,1,1
38.5,1,0,0,0,0,0,0
40,3,1,5,4,1,1,1
38.8,1,0,0,0,0,0,0
40.1,4,1,2,2,1,1,1
40.4,4,1,3,4,1,1,1
40.3,4,1,2,2,1,1,1
39.7,3,1,2,4,1,1,1
38.7,1,0,0,0,0,0,0
39.6,3,1,3,5,1,1,0
40.1,4,1,5,4,1,1,1
38.4,0,0,0,0,0,0,0
39.6,3,1,2,5,1,1,1
38.5,1,0,0,0,0,0,0
40.1,5,1,4,2,1,1,1
39.6,3,1,2,5,1,1,1
38.2,0,0,0,0,0,0,0
39.2,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
40.5,3,1,3,2,1,1,1
39.3,4,1,4,2,1,1,1
38.5,1,0,0,0,0,0,0
37.7,1,0,0,0,0,0,0
39.4,4,1,5,5,1,1,1
38.6,1,0,0,0,0,0,0
39.4,3,1,5,5,1,1,0
38.6,1,0,0,0,0,0,0
39.1,3,1,3,4,1,1,1
38.7,1,0,0,0,0,0,0
39.7,5,1,5,5,1,1,1
39.7,4,1,3,5,1,1,0
39,3,1,3,2,1,1,1
40.6,5,1,3,2,1,1,1
38.2,1,0,0,0,0,0,0
40.3,3,1,2,2,1,1,1
38,1,0,0,0,0,0,0
40.3,3,1,5,3,1,1,1
38.4,1,0,0,0,0,0,0
39.9,5,1,3,2,1,1,1
38.4,1,0,0,0,0,0,1
38.3,1,0,0,0,0,0,0
39.4,5,1,4,4,1,1,1
40.3,3,1,2,3,1,1,1
38.1,0,0,0,0,0,0,0
40.4,5,1,4,3,1,1,1
39.9,3,1,2,3,1,1,1
39.6,4,1,5,3,1,1,1
40.4,4,1,4,2,1,1,1
38.7,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0
40.4,5,1,5,5,1,1,1
38.7,1,0,0,0,0,0,0
40,5,1,4,2,1,1,1
39.1,1,0,0,0,0,0,1
40.5,4,1,2,5,1,1,1
38.8,1,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
39.7,4,1,3,4,1,1,0
39.3,3,1,4,3,1,1,1
38.5,1,0,0,0,0,0,0
38,0,0,0,0,0,0,0
38.3,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
40.8,5,1,2,3,1,1,1
38.1,1,0,0,0,0,0,0
39,3,1,4,2,1,1,1
39.3,4,1,5,4,1,1,0
38.1,0,0,0,0,0,0,0
40.2,4,1,4,5,1,1,1
38.4,1,0,0,0,0,0,1
39.9,4,1,2,2,1,1,1
38.5,0,0,0,0,0,0,0
40.6,5,1,3,4,1,1,1
39.3,4,1,3,3,1,1,1
38.2,1,0,0,0,0,0,0
38.9,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
40.3,5,1,2,5,1,1,1
40.3,3,1,3,3,1,1,0
40.1,3,1,5,3,1,1,1
38.6,1,0,0,0,0,0,0
40,4,1,4,2,1,1,1
38.4,1,0,0,0,0,0,0
39.7,3,1,2,4,1,1,1
39.1,0,0,0,0,0,0,0
39.8,4,1,2,2,1,1,1
39.5,3,1,5,2,1,1,1
39.9,3,1,4,3,1,1,0
38.9,5,1,5,4,1,1,1
38,1,0,0,0,0,0,0
37.9,1,0,0,0,0,0,0
38.2,0,0,0,0,0,0,0
38.4,1,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39.8,3,1,3,3,1,1,1
39.5,5,1,4,2,1,1,1
39.5,4,1,4,3,1,1,1
39.6,5,1,3,3,1,1,1
38.2,1,0,0,0,0,0,0
39.6,3,1,3,4,1,1,1
38.8,0,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0
40.4,3,1,5,4,1,1,1
39.4,5,1,3,3,1,1,1
38.5,1,0,0,0,0,0,0
39.5,5,1,3,3,1,1,1
40.1,4,1,4,5,1,1,1
39.6,4,1,5,5,1,1,1
38.6,1,0,0,0,0,0,0
38,1,0,0,0,0,0,0
38.4,0,0,0,0,0,0,0
40.4,5,1,2,5,1,1,1
38,1,0,0,0,0,0,0
40.3,5,1,2,3,1,1,1
38.6,1,0,0,0,0,0,0
39.1,0,0,0,0,0,0,0
40.3,3,1,3,2,1,1,1
40.5,4,1,3,2,1,1,1
39,1,0,0,0,0,0,0
39.2,1,0,0,0,0,0,0
38.3,0,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
38.3,1,0,0,0,0,0,0
39.3,5,1,4,2,1,1,1
38.7,1,0,0,0,0,0,0
39.4,5,1,5,2,1,1,1
39.8,5,1,5,3,1,1,1
39.3,4,1,3,5,1,1,1
38.7,1,0,0,0,0,0,0
40.6,4,1,3,2,1,1,1
38.6,0,0,0,0,0,0,0
40.1,4,1,3,2,1,1,1
40.8,4,1,5,3,1,1,1
38.6,1,0,0,0,0,0,1
39.7,4,1,4,4,1,1,1
37.9,1,0,0,0,0,0,0
38.8,4,1,5,2,1,1,1
41,4,1,4,5,1,1,1
40.5,4,1,5,2,1,1,1
39.3,3,1,5,5,1,1,1
39.1,5,1,4,3,1,1,1
40,4,1,4,3,1,1,1
40.8,3,1,5,5,1,1,1
38.6,1,0,0,0,0,0,0
39.6,4,1,2,5,1,1,1
39.8,3,1,4,2,1,1,1
40,4,1,3,3,1,1,1
39.3,5,1,2,5,1,1,1
40.1,4,1,5,5,1,1,1
38.5,0,0,0,0,0,0,0
38.5,1,0,0,0,0,0,0
38.7,1,0,0,0,0,0,0
38.6,1,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
38.1,0,0,0,0,0,0,0
40.3,4,1,4,2,1,1,1
39.6,4,1,2,2,1,1,1
39.4,4,1,5,3,1,1,1
39.4,5,1,4,3,1,1,1
38.7,0,0,0,0,0,0,0
40.2,4,1,2,2,1,1,1
40.3,5,1,5,2,1,1,1
38.2,1,0,0,0,0,0,0
39.7,5,1,5,2,1,1,1
39.8,5,1,4,4,1,1,1
38.2,1,0,0,0,0,0,1
40,5,1,4,5,1,1,1
38.5,1,0,0,0,0,0,0
38.6,0,0,0,0,0,0,0
38.7,0,0,0,0,0,0,0
38.1,1,0,0,0,0,0,0
40.1,4,1,4,4,1,1,1
38.3,1,0,0,0,0,0,0
38,0,0,0,0,0,0,0
